,smiles
29,CCC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2
30,CCC1=CC=C(NS(=O)(=O)C2=CC=C(F)C=C2)C(C(O)=O)=C1C
31,[H]\C(=C(\N=C(C)O)C(O)=N[C@@]1([H])CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O)C1=CC(C=O)=C(CC(O)=O)C=C1
32,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@@H](CSC)CN2CCC
33,[H][C@](O)(CCCCC)\C=C\C=C/CCCCCCCC(O)=O
34,[H]\C(CC\C(C)=C(/[H])CSP(O)(=O)OP(O)(O)=O)=C(\C)CCC=C(C)C
35,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12
36,CCOC1=CC(=CC=C1)C1=CC=C(NC(=O)C(\C#N)=C(\C)O)C=C1
37,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
38,[H]\C1=C(\[H])/C(/[H])=C([H])\[C@@]([H])(C)CC[C@]2([H])C[C@]([H])(C[C@@](O)(O2)[C@]2([H])CSC(O)=N2)OC(=O)\C([H])=C(C)/CC1
39,NC(=O)C1=NN(C2=C1C=CC1=C2C=NN1)C1=CC=C(C=C1)S(N)(=O)=O
40,OC(=O)CC1=CC(OCCCN(CC(C2=CC=CC=C2)C2=CC=CC=C2)CC2=C(Cl)C(=CC=C2)C(F)(F)F)=CC=C1
41,CCC(=O)CCC(C)(C)O
42,CC(C)N1C(C)=NC=C1C1=NC(NC2=CC=C(C=C2)N2CCN(CC2)C(=O)CO)=NC=C1
43,[H][C@]1(O)CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@@]([H])(O)CC[C@]4(C)[C@@]3([H])CC[C@]12C
44,CN1C(=O)NC(=O)C(C)(C1=O)C1=CCCCC1
45,CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1
46,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)N1
47,O=CCCCC1CCNCC1
48,CN1C=NC(C[C@H](N)C(O)=O)=C1
49,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12
50,OCC1=CC=C(Br)C=C1
51,NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O
52,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
53,[H][C@@]1(CCCCC=O)SC[C@]2([H])NC(=O)N[C@]12[H]
54,C[C@@H](OC[C@]1(CC[C@]2(CCC(=O)N2)CN1)C1=CC=CC=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
55,NC[C@H](O)C1=CC(O)=C(O)C=C1
56,CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
57,FC1=CC=C(C=C1)N1C=C(C2CCN(CCN3CCNC3=O)CC2)C2=C1C=CC(Cl)=C2
58,CC1=CC=C(NS(=O)(=O)C2=CC=CC=C2)C(=C1)C(O)=O
59,[H][C@](N)(CC(=O)N1CCC[C@@]1([H])CNC(=O)C1=CC=CC=C1)CC1=C(F)C=CC=C1
60,[H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(SC)[C@]([H])(O)[C@@]1([H])O
61,FC1=CC=C(C=C1)C(N1CCN(C\C=C\C2=CC=CC=C2)CC1)C1=CC=C(F)C=C1
62,CC1=CC(C)=[N+](CCC2=CC=C(C=C2)S(N)(=O)=O)C(C)=C1
63,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
64,[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OCCCCCCCC
65,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
66,N[C@@H](CSCC(N)=O)C(O)=O
67,CCOC(=O)C1=C(C)N(N=C1C)C1=CC(=CC=C1)[N+]([O-])=O
68,CC1=C(SCCO1)C(=O)NC1=CC=CC=C1
69,OCC1=C2N=C(C=C(NCC3=CN=CC=C3)N2N=C1)C1=CC=CC=C1
70,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
71,CC(C)C[C@H](N)C(O)=O
72,CN(C)CCC=C1C2=CC=CC=C2COC2=CC=CC=C12
73,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
74,[H][P@@](=O)(CCCCCCCCCCC)OCCCC
75,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1
76,CNC[C@H](O)C1=CC(O)=C(O)C=C1
77,COC1=CC2=C(C=C1)C=C(CCC(C)=O)C=C2
78,NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O
79,CN(C1=CC(Cl)=CC=C1)S(=O)(=O)C1=CC2=C(CC3=C(C)C(C)=C(C)N3)C(=O)N=C2C=C1
80,CC(C)(C(=O)C1=CN=CC=C1)C1=CC=CN=C1
81,CC1=NN=C(N1)C1=CC=CC=C1NC1=NC=NC2=C1C=CN2
82,CC(C)(C)NCC(O)C1=CC(Cl)=C(N)C(Cl)=C1
83,CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C12
84,C[C@@H]1CC[C@H]([C@@H](O)C(F)(F)F)N1C1=CC2=C(NC(=O)C=C2C(F)(F)F)C=C1
85,CC1=CC=CC=C1C(=O)NC1=CC(C)=C(C=C1)C(=O)N1CCC[C@@H](O)C2=C1C=CC(Cl)=C2
86,[H][C@@](CC)(CO)NC1=NC2=C(C=NN2C(NCC2=CC=CC=C2)=N1)C(C)C
87,CC1=NC2=C(CSCC2)C(=O)N1
88,NC(=N)C1=CC2=C(C=C1)N=C(N2)C(O)(O)C1=NC2=C(N1)C=C(C=C2)C([NH3+])=[NH2+]
89,OC(=O)CCCOC1=CC=C(NC(=O)NC(=O)C2=CC=C(Cl)C=C2Cl)C(Cl)=C1
90,CN(C)CCCN1C2=CC=CC=C2SC2=CC=CC=C12
91,[H][C@]1(CO)O[C@@]([H])(N2C=CC(=N)N=C2O)[C@]([H])(O)[C@]1([H])OP(O)(O)=O
92,[H][C@]1(COP([O-])(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])([N+]3=CC=CC(=C3)C(O)=N)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C(Br)=NC3=C(N)N=CN=C23)[C@]([H])(OP(O)(O)=O)[C@]1([H])O
93,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12
94,[H][C@@](CC)(CO)NC1=NC2=C(N=CN2C(C)C)C(NCC2=CC=C(C=C2)C2=CC=CC=N2)=N1
95,FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=CC=CC=C12)C1=CC=C(F)C=C1
96,CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1
97,[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O[C@]2([H])O[C@]([H])(CO)[C@@]([H])(O[C@]3([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])N=C(C)O)[C@]([H])(O)[C@@]2([H])N=C(C)O)[C@]([H])(O)[C@@]1([H])N=C(C)O
98,CCC1(CC)C(=O)NC(=O)NC1=O
99,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CC1=C(C)C(=O)C2=C(C=CC=C2)C1=O
100,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1
101,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1
102,[H][C@]1(COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C(N)N=CN=C34)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
103,FCOC(C(F)(F)F)C(F)(F)F
104,ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl
105,CN\C(NCCSCC1=CC=C(CN(C)C)O1)=C/[N+]([O-])=O
106,CN1C(CC(O)=O)=CC(C)=C1C(=O)C1=CC=C(Cl)C=C1
107,NC1=CC=NC=C1
108,CC1=CC=CC(=N1)C1=C(CNN1)C1=CC=C2N=CC=CC2=N1
109,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C
110,CC1=NN=C(O1)C1=CC=C(C)C(=C1)C1=CC=C(C=C1)C(=O)NC1=CC(=CC=C1)C#N
111,CC(C)=CCC\C(C)=C\CO[P@@](=O)(O)OP(=O)(O)O
112,CC[C@H](C)[C@H](N)C(O)=O
113,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O
114,NC1=NC=CC(=N1)C1=C(N=CN1C1CCNCC1)C1=CC=C(F)C=C1
115,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O
116,[H][C@@](CS(=O)(=O)CC1=CC=CC=C1)(N[C@@]([H])(C1=CC=C(O)C=C1)C(F)(F)F)C(=O)NC1(CN)CC1
117,FC1=CC=CC=C1C(=O)NC1=C(C#N)C2=C(CCCC2)S1
118,FC1=CC=C(CC2=NNC(=O)C3=CC=CC=C23)C=C1C(=O)N1CCCNCC1
119,NCCCCC1=CC=CC=C1
120,[H]\C(C1=CC(OC)=C(C=C1)N1C=NC(C)=C1)=C1\CCCN(C1=O)[C@@]([H])(C)C1=CC=C(F)C=C1
121,COCCOC1=CN=C(NS(=O)(=O)C2=CC=CC=C2)N=C1
122,CCCCCCCCCCCCSC1=C(N=NN1)C(O)=O
123,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1
124,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(OCC)C=CC2=CC=CC=C12)C(O)=O
125,CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1
126,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O
127,ClC1=CC2=C(C=C1)N(C1CCN(CCCN3C(=O)NC4=CC=CC=C34)CC1)C(=O)N2
128,[H][C@@]12[C@@H]3SC[C@]4(NCCC5=C4C=C(OC)C(O)=C5)C(=O)OC[C@H](N1[C@@H](O)[C@@H]1CC4=CC(C)=C(OC)C(O)=C4[C@H]2N1C)C1=C2OCOC2=C(C)C(OC(C)=O)=C31
129,COC1=CC=CC2=C1NC1=C(C=CC=C1C(=O)NC1=CC=C(CCN3CCC4=CC(OC)=C(OC)C=C4C3)C=C1)C2=O
130,C[C@]1(OC(=O)N(NC2=CC=CC=C2)C1=O)C1=CC=C(OC2=CC=CC=C2)C=C1
131,CCCCC1=NN(CC2=CN=C(C=C2)C2=CC=CC=C2C2=NNN=N2)C(CCCC)=N1
132,FC(F)(F)C1=CC(=CC=C1)N1CCN(CCN2C(=O)NC3=CC=CC=C23)CC1
133,FC1=CC=C(C=C1)N1C=CC=C(C(=O)NC2=CC=C(OC3=CC=NC4=C3C=CN4)C(F)=C2)C1=O
134,CN(C)CCC(C1=CC=CC=C1)C1=CC=CC=N1
135,CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=CC=NC(NC2=CC=C(C)C(=C2)S(N)(=O)=O)=N1
136,CN(CC1=CC=C(C=C1)C(C)(C)C)CC1=CC=CC2=CC=CC=C12
137,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@](C)(O)CC[C@]12C
138,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@@]21[H]
139,NC(=O)C[S@@](=O)C(C1=CC=CC=C1)C1=CC=CC=C1
140,CN(C)C1=CC2=[S+]C3=CC(=CC=C3N=C2C=C1)N(C)C
141,CN1CCN(CC1)C1=NC2=CC=CC=C2OC2=C1C=C(Cl)C=C2
142,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1
143,NC(=O)C1=CC(N2CC2)=C(C=C1[N+]([O-])=O)[N+]([O-])=O
144,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl
145,CCCCN1C(CC2=CC(OC)=C(OC)C(OC)=C2Cl)=NC2=C(N)N=CN=C12
146,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
147,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C
148,COC(F)(F)C(Cl)Cl
149,IC1=CC=CC(CNC2=C3CCCCC3=NC3=C2C=CC=C3)=C1
150,CC(=O)CCO
151,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
152,[H][C@]1(C)CN(C[C@@]([H])(C)O1)C1=CC=C(NC(=O)C2=CC=CC(=C2C)C2=CC=C(OC(F)(F)F)C=C2)C=N1
153,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O
154,[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(OP(O)(O)=O)[C@]1([H])O
155,CN(C)CCOC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1
156,COC1=CC=C(C=C1)C1=CC=C(C=C1)S(=O)(=O)N[C@@H](C(C)C)P(O)(O)=O
157,[H][C@](N)(CC(=O)N1CCC[C@@]1([H])CNC(=O)C1=CC=CC(=C1)S(C)(=O)=O)CC1=CC(Cl)=CC=C1
158,NC(N)=NCCN1CCCCCCC1
159,OCC(C)(CO)C(=O)O[C@@H]1CC[C@@H](C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@@H](OC)C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)C[C@H]1OC
160,[H][C@](N)(CC1=CC=CC=C1)[C@]([H])(O)CNS(=O)(=O)C1=CC=C2C=CC=CC2=C1
161,COC1=CC(OC)=CC(NC(=N)NC(N)=N)=C1
162,NC(=[NH2+])C1=CC=C2NC(=CC2=C1)C1=CC=CC(=C1[O-])C1=CC=CC=C1
163,NCC1=CC2=C(OCC22CCN(CC2)C(=O)\C=C\C2=CC=CC=C2)C=C1
164,[H][C@]12CCC[C@H](N1C(=O)[C@H](CCS2)NC(=O)[C@@H](S)CC1=CC=CC=C1)C(O)=O
165,CCC1(CC)C(=O)NCC(C)C1=O
166,FC(F)(F)CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1
167,COC1=C2OC(=O)C=CC2=CC2=C1OC=C2
168,NS(=O)(=O)C1=CC=C(CCC(O)=O)C=C1
169,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
170,CC(C)(CC1CC2=C(C1)C=CC=C2)NC[C@@H](O)COC1=CC(CCC(O)=O)=CC(F)=C1F
171,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=NOCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O
172,[H][C@]12CCN(CCCC(=O)C3=CC=C(F)C=C3)C[C@@]1([H])C1=CC=CC3=C1N2CCN3C
173,NC1=C(C=C(NC2=CC=C(NC3=NC(Cl)=NC(NC4=CC=CC=C4S(O)(=O)=O)=N3)C(=C2)S(O)(=O)=O)C2=C1C(=O)C1=CC=CC=C1C2=O)S(O)(=O)=O
174,CN1SC(=O)C2=CC(=CC=C12)S(N)(=O)=O
175,[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)C=NN1CC(=O)NC1=O
176,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O
177,[H][C@@]1([C@H](OC)[C@@H](CC[C@]11CO1)OC(=O)N[C@H](C(C)C)C(N)=O)[C@@]1(C)O[C@@H]1CC=C(C)C
178,[H][C@]1(CC2=NC(N)=CC(C)=C2)CNC[C@]1([H])NCCNCC1=CC(Cl)=CC=C1
179,[H][C@@]12C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C4=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C5=CC=CC=C5)[C@]3([H])[C@@]1(CO2)OC(C)=O)C4(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1
180,C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1
181,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
182,OC(=O)CCC(O)=O
183,COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1
184,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1
185,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1
186,[H][C@@](N)(CCSC(C)C)[C@]([H])(O)C(=O)NNC(=O)C1=CC(Cl)=CC=C1
187,N[C@@H](CS(O)(=O)=O)C(O)=O
188,CC(C)(N)CC1=CC=CC=C1
189,CSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O
190,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1
191,[H][C@@](N)(CC1=CC=CC=C1)C(=O)N1CCC[C@@]1([H])C(=O)NCC1=CC=CC(F)=C1
192,CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1
193,COC1=CC(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C(Cl)C=C1Cl
194,OC1=CC=C(CCNC2=NC(SCCCC3=CC=C(Cl)C=C3)=NC(=N2)N2CCNCC2)C=C1
195,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC
196,CC(C)(C)OC(=O)[C@@H](N)CCC(N)=O
197,CC1=CC(Br)=C([O-])C(=C1)C1=NC2=CC(=CC=C2N1)C(N)=[NH2+]
198,O[C@@H]([C@@H](O)C(O)=O)C(O)=O
199,NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
200,CC(=O)OC1=CC=CC=C1C(O)=O
201,[H][C@@]1(COC2=CC=C3CCNCC3=C2)COC2=C(SC=C2)C(N)=N1
202,CC[C@H](CO)NC(=O)CC1=C(C)N(C(=O)C2=CC=C(Cl)C=C2)C2=CC=C(OC)C=C12
203,CC(=O)C1=C(C)C2=CN=C(NC3=NC=C(C=C3)N3CCNCC3)N=C2N(C2CCCC2)C1=O
204,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O
205,CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12
206,[H]\C(CCCCCC)=C(/[H])CCCCCCCC(=O)O[C@@]([H])(COC(=O)CCCCCCC\C([H])=C(\[H])CCCCCCCC)COP(O)(=O)OCCO
207,N[C@@H](CO)C(O)=O
208,CCCCN1C(CC2=CC=C(OC)C=C2)=NC2=C(N)N=CN=C12
209,OB1OCCO1
210,CC(=N)N1CCC(CC1)OC1=CC=C2C(=C1)N(CC1=CC=C3C=CC(=CC3=C1)C(N)=N)C1=C2C=CC=C1
211,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1
212,[H][C@](C)(CC)[C@]([H])(NC(=O)[C@@]1([H])O[C@]1([H])C(=O)NCCC)C(=O)N1CCC[C@@]1([H])C(=O)OCC1=CC=CC=C1
213,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C)C(O)=C4C(=O)C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=C1OC5=C(N=C1C4=C3C2=O)C(O)=CC(=C5)N1CCN(CC(C)C)CC1
214,[H][C@@]1(O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)O[C@H](CO)[C@@H](O)[C@H]1O
215,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1
216,CN1CCC(CC1)N1CCN(CC1)C(=O)[C@H](NC(=O)C1=CC=C2C=CNC2=C1)C1=CC=CC=C1
217,COC1=CC2=C(NC(=N2)[S@@](=O)CC2=NC=C(C)C(OC)=C2C)C=C1
218,CO[C@H]1C[C@@H](O[C@@H](C)[C@@H]1O)O[C@H]1[C@H](C)O[C@H](C[C@@H]1OC)O[C@H]1[C@@H](C)\C=C\C=C2/CO[C@@H]3[C@H](O)C(C)=C[C@@H](C(=O)O[C@H]4C[C@@H](C\C=C1/C)O[C@@]1(CC[C@H](C)[C@@H](C(C)C)O1)C4)[C@]23O.CC[C@@H](C)[C@H]1O[C@@]2(CC[C@@H]1C)O[C@@H]1C\C=C(C)\[C@@H](O[C@@H]3O[C@@H](C)[C@H](O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](OC)C4)[C@@H](OC)C3)[C@@H](C)\C=C\C=C3/CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O[C@@H](C1)C2)[C@]34O
219,[H][C@]1(CO[C@]2([H])[C@]([H])(CO[C@]12[H])OC1=CC=CC(=C1)C(N)=N)OC1=CC(=CC=C1)C(N)=N
220,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F
221,C[N+](C)(C)CCOC(N)=O
222,CN[C@H]1CN(C2=CC(OC)=CC=C2)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
223,CC(C[N+](C)(C)C)OC(N)=O
224,OC1=CC=C(C=C1)[N+]([O-])=O
225,[H][C@@](CCC(O)=O)(NC(=O)C1=CC=C(C=C1)N(CC#C)CC1=CC=C2NC(N)=NC(=O)C2=C1)C(O)=O
226,[H][C@@]12CC[C@](OC(C)=O)(C(=O)COC)[C@@]1(C)C[C@H](C1=CC=C(C=C1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@]21[H]
227,CN1C=C(C(=N1)C1=CC=C(OCC2=NC3=CC=CC=C3C=C2)C=C1)C1=CC=NC=C1
228,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1
229,CN1C2=CC=CC=C2C(C#N)(C(=O)NCCC(O)=O)C2=C1C=CC=C2
230,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2
231,O=C(NC1=C2OC(=CC(=O)C2=CC=C1)C1=NNN=N1)C1=CC=C(OCCCCC2=CC=CC=C2)C=C1
232,CN(C)C1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](N)[C@H]1O
233,[H][C@](N)(CCCNC(=N)NN(=O)=O)C(O)=N[C@@]([H])(CCN)C(O)=N
234,[H][C@@]1(SC(NC2=C(F)C=CC=C2)=NC1=O)C(C)C
235,CC1=CC(=CC(C)=C1OC1=C(Br)C(N)=NC(NC2=CC=C(C=C2)C#N)=N1)C#N
236,N[C@@H](CS)C(O)=O
237,CCC1=C(C)NC2=C1C(=O)C(CN1CCOCC1)CC2
